benchmark,sub-benchmark,sh,hs window 0,hs window 1,hs window 2,hs window 5,hs window 10,hs window 15,hs window 20,hs window 30,infinite
NOAA,large,2518.828,3753.450,3167.306,2855.620,1526.584,1273.854,1006.190,793.077,685.685,637.070
Genomics,large,4570.710,4822.940,4691.840,4468.200,3145.150,2262.490,2264.740,1686.480,1558.300,1923.960
Unix50,full100m,40.174,52.952,33.635,26.428,21.202,15.221,9.088,8.941,7.742,7.650
DGSH,1-1000x,2343.604,2353.719,2328.474,1676.331,1676.162,1677.580,1677.580,1661.228,1680.777,1684.877
DGSH,2,35.070,37.005,36.569,32.165,32.989,32.628,32.628,32.520,32.598,38.550
DGSH,3,6.578,22.695,14.020,12.693,11.673,10.533,10.533,11.126,11.418,11.859
DGSH,4,3.430,6.765,5.706,5.866,5.752,5.743,5.743,5.686,5.773,5.829
DGSH,5-1000x,522.773,521.433,523.255,523.9419348,522.855,523.996,523.996,522.698,521.854,523.836
DGSH,6-1000x,206.761,210.451,209.883,209.4789264,209.917,209.922,209.922,211.208,209.486,210.694
DGSH,7-1000x,48.563,69.975,53.957,50.300,44.319,39.073,39.073,32.576,27.372,21.355
DGSH,8-1000x,1549.480,1561.474,1552.413,1203.133,1061.315,1063.057,1063.057,1063.480,1170.352,1066.471
DGSH,9,0.351,3.142,2.857,2.875,2.751,2.981,2.981,3.569,2.804,2.776
DGSH,17-1000x,1.270,3.126,1.926,1.795,1.868,1.871,1.871,1.988,1.902,1.8788
NLP,1_1,787.741,825.055,472.776,350.654,230.322,173.156,141.375,121.977,118.530,61.348
NLP,2_1,783.468,832.679,472.281,348.806,230.660,171.963,140.987,121.922,117.739,61.802
NLP,2_2,91.095,119.618,69.267,51.610,35.094,26.513,21.461,20.001,19.423,12.198
NLP,3_1,786.241,819.034,475.580,352.135,231.820,172.166,141.169,124.205,118.311,61.559
NLP,3_2,786.127,822.239,472.604,350.076,231.526,173.466,140.794,122.435,117.917,61.464
NLP,3_3,788.686,830.169,476.171,352.510,232.110,173.167,143.026,122.202,118.111,62.142
NLP,4_3,950.142,988.976,571.371,426.643,280.236,210.443,171.290,155.377,143.685,73.830
NLP,4_3b,991.389,1036.367,594.720,443.945,293.117,221.044,179.208,149.274,150.427,77.425
NLP,6_1,8.053,90.217,43.324,32.195,20.106,12.603,11.063,11.587,11.852,24.569
NLP,6_1_1,520.002,553.310,316.493,233.791,155.011,114.596,123.631,82.841,79.641,41.861
NLP,6_1_2,699.101,731.458,420.993,311.870,206.093,151.591,93.522,107.738,103.276,53.532
NLP,6_2,1219.735,1277.964,731.439,499.145,312.429,220.134,179.881,154.834,130.766,64.443
NLP,6_3,527.966,562.326,320.777,236.901,155.616,116.359,95.658,85.347,80.782,42.536
NLP,6_4,559.038,606.894,342.342,252.753,167.231,124.191,100.566,90.562,87.019,51.739
NLP,6_5,525.536,558.943,322.127,236.837,156.013,115.413,94.770,84.403,81.017,43.813
NLP,6_7,14.862,122.266,56.202,42.529,23.823,15.645,13.523,13.129,13.438,48.227
NLP,7_1,135.316,177.603,95.716,70.823,45.863,34.760,28.585,25.197,24.096,13.822
NLP,7_2,513.190,540.389,315.314,236.682,154.201,113.882,99.550,75.027,72.184,37.888
NLP,8_1,701.050,742.756,424.232,313.528,206.266,153.461,124.375,108.171,103.899,54.693
NLP,8.2_1,660.478,698.074,401.549,301.416,200.074,146.752,119.354,100.784,98.184,51.675
NLP,8.2_2,946.802,998.293,576.177,428.664,284.022,216.530,177.554,156.367,147.240,76.855
NLP,8.3_2,700.641,747.577,423.579,313.778,206.423,152.473,124.543,108.517,103.276,54.331
NLP,8.3_3,1044.798,1075.790,582.487,417.811,261.697,178.331,165.845,122.647,116.307,59.686
LogAnalysis,full,988.800,1325.289,912.868,770.536,644.920,664.879,662.016,681.279,708.043,1302.123
COVID-mts,full-10G,345.500,355.800,227.848,142.368,86.991,87.662,87.162,86.414,84.308,91.736
Sklearn,large,411.000,421.049,323.203,262.337,207.435,184.639,183.648,191.803,184.701,186.123
