benchmark_name,sh_time,hs_time,pash_time
noaa_large,2518.8,685.7,2372.3
genomics_large,4570.7,1558.3,4436.4
unix_50_full100m,40.2,7.7,53.6
dgsh_1-1000x,2343.6,1680.8,2374.6
dgsh_2,35.1,32.6,35.2
dgsh_3,6.6,11.4,10.1
dgsh_4,3.4,5.8,3.8
dgsh_5-1000x,522.8,521.9,48.5
dgsh_6-1000x,206.8,209.5,207.7
dgsh_7-1000x,48.6,27.4,53.4
dgsh_8-1000x,1549.5,1170.4,837.4
dgsh_9,0.4,2.8,1.9
dgsh_17-1000x,1.3,1.9,2.6
covid_mts,345.372,88.025,340.711
nlp100x_1_1,787.7,118.5,211.6
nlp100x_2_1,783.5,117.7,232.6
nlp100x_2_2,91.1,19.4,177.0
nlp100x_3_1,786.2,118.3,319.8
nlp100x_3_2,786.1,117.9,324.2
nlp100x_3_3,788.7,118.1,801.1
nlp100x_4_3,950.1,143.7,966.0
nlp100x_4_3b,991.4,150.4,995.9
nlp100x_6_1,8.1,11.9,16.1
nlp100x_6_1_1,520.0,79.6,201.6
nlp100x_6_1_2,699.1,103.3,323.8
nlp100x_6_2,1219.7,130.8,430.9
nlp100x_6_3,528.0,80.8,189.3
nlp100x_6_4,559.0,87.0,203.5
nlp100x_6_5,525.5,81.0,193.0
nlp100x_6_7,14.9,13.4,80.7
nlp100x_7_1,135.3,24.1,156.6
nlp100x_7_2,513.2,72.2,252.1
nlp100x_8_1,701.0,103.9,715.4
nlp100x_8.2_1,660.5,98.2,254.2
nlp100x_8.2_2,946.8,147.2,963.5
nlp100x_8.3_2,700.6,103.3,716.4
nlp100x_8.3_3,1044.8,116.3,1057.8
sklearn_large,436.0,180.9,418.6
log-analysis-full,973.9,782.4,1625.5
web-index,360.1,944.9,397.1102631
TeraSeq_MOUSE_Sirv,6176,1742.669,9999999999999
TeraSeq_5TERA,22078.9,10078.436,9999999999999
TeraSeq_5TERA3,4038.5,3535.106,9999999999999
TeraSeq_5TERAshort,13530.8,7882.932,9999999999999
TeraSeq_Akron5Seq,10445,10826.482,9999999999999
TeraSeq_dRNASeq,1503.7,1327.118,9999999999999
TeraSeq_RiboSeq,26578.6,17715.015,9999999999999
TeraSeq_RNASeq,5104.0,5177.373,9999999999999
TeraSeq_TERA3,9689.6,5872.331,9999999999999
