benchmark_name,sh_time,hs_time,pash_time
noaa_large,3679.481,1675.846,3454.745
genomics_large,5660.02,2420.310,5837.970
unix_50_full100m,61.000,11.000,86.000
dgsh_1-1000x,3319.575,2546.287,3313.850
dgsh_2,51.258,49.661,50.105
dgsh_3,11.135,16.378,14.466
dgsh_4,6.100,6.300,3.400
dgsh_5-1000x,741.907,765.725,97.625
dgsh_6-1000x,254.319,262.528,255.280
dgsh_7-1000x,72.128,48.289,83.700
dgsh_8-1000x,2307.411,1680.677,1188.577
dgsh_9,0.939,4.964,2.663
dgsh_17-1000x,2.263,3.842,3.613
nlp100x_1_1,1142.133,180.972,333.632091
nlp100x_2_1,1143.187,181.876,365.610
nlp100x_2_2,113.800,26.497,254.482
nlp100x_3_1,1138.272,181.614,508.253
nlp100x_3_2,1145.790,180.737,507.061
nlp100x_3_3,1149.800463,183.788,1151.762
nlp100x_4_3,1375.525,222.155,1387.315
nlp100x_4_3b,1439.003,235.421,1450.772
nlp100x_6_1,10.893,16.940,21.141
nlp100x_6_1_1,804.712,131.334,313.341
nlp100x_6_1_2,1007.754,159.437,430.066
nlp100x_6_2,1825.929,204.610,590.570
nlp100x_6_3,823.255,131.905,298.754
nlp100x_6_4,861.924,153.005,332.097
nlp100x_6_5,818.528,136.170,309.478
nlp100x_6_7,19.472,19.351,116.377
nlp100x_7_1,197.205,36.767,238.369
nlp100x_7_2,649.284,99.557,365.585
nlp100x_8_1,1005.706,158.973,1014.593
nlp100x_8.2_1,977.073,160.088,389.608
nlp100x_8.2_2,1376.652,230.953,1379.676257
nlp100x_8.3_2,1013.627,158.725,1016.442
nlp100x_8.3_3,1422.497,179.585,1430.878
sklearn_large,472.005676,198.7358053,410.6878772
log-analysis-full,1484.778962,1154.466542,2403.445984
web-index,551.1671991,1259.913067,556.0100291
TeraSeq_MOUSE_Sirv,8573.305552,2788.869805,8541.035806
covid_mts,3447.111,1154.467,3442.724
